"","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","Arena","Attend","Attend/G","...29","...30","...31","Year"
"193","5","Memphis Grizzlies*","28.1","49","33","52","30","3.70","0.05","3.74","105.9","101.6","+4.3","86.3",".339",".258",".537",NA,".496","13.9","25.8",".241",NA,".469","14.7","72.0",".237",NA,"FedEx Forum","647,533","15,793",2006
"194","6","Miami Heat*","29.2","52","30","52","30","3.87","-0.27","3.59","108.7","104.5","+4.2","91.6",".363",".227",".556",NA,".517","13.9","26.7",".254",NA,".477","12.4","76.4",".251",NA,"AmericanAirlines Arena","818,149","19,955",2006
"195","7","Los Angeles Lakers*","25.1","45","37","48","34","2.50","0.03","2.53","108.4","105.7","+2.7","90.9",".329",".240",".539",NA,".495","13.1","28.8",".245",NA,".486","13.4","73.6",".242",NA,"STAPLES Center","774,189","18,883",2006
"196","8","Cleveland Cavaliers*","27.1","50","32","48","34","2.23","-0.06","2.17","107.8","105.4","+2.4","89.8",".362",".228",".538",NA,".492","13.3","28.4",".263",NA,".490","12.8","75.7",".226",NA,"Gund Arena","792,391","19,327",2006
"197","9","Indiana Pacers*","27.3","41","41","47","35","1.89","-0.27","1.62","104.5","102.4","+2.1","89.7",".344",".245",".533",NA,".487","14.8","27.1",".254",NA,".464","13.0","72.6",".232",NA,"Conseco Fieldhouse","663,368","16,180",2006
"198","10","Washington Wizards*","26.5","42","40","46","36","1.85","-0.29","1.57","109.3","107.3","+2.0","92.3",".375",".209",".538",NA,".484","12.8","29.5",".284",NA,".504","15.1","70.9",".256",NA,"MCI Center","705,062","17,197",2006
"199","11","Sacramento Kings*","27.2","44","38","45","37","1.54","0.07","1.61","106.7","105.0","+1.7","91.9",".334",".217",".544",NA,".492","13.9","25.4",".262",NA,".488","13.7","72.2",".210",NA,"ARCO Arena (II)","709,997","17,317",2006
"200","12","Los Angeles Clippers*","26.8","47","35","46","36","1.57","0.18","1.75","105.3","103.6","+1.7","91.7",".332",".131",".540",NA,".487","13.8","25.4",".263",NA,".471","12.2","75.9",".240",NA,"STAPLES Center","712,409","17,376",2006
"201","13","New Jersey Nets*","28.6","49","33","45","37","1.37","-0.26","1.11","103.9","102.4","+1.5","89.8",".346",".229",".528",NA,".478","13.3","24.0",".262",NA,".476","14.0","76.3",".266",NA,"Continental Airlines Arena","691,543","16,867",2006
"202","14","Chicago Bulls*","24.1","41","41","43","39","0.63","-0.12","0.51","104.0","103.4","+0.6","92.9",".292",".219",".527",NA,".487","13.9","26.3",".216",NA,".464","13.9","74.7",".295",NA,"United Center","868,720","21,188",2006
"203","15","Denver Nuggets*","27.4","44","38","42","40","0.23","0.13","0.36","105.5","105.2","+0.3","93.9",".347",".161",".535",NA,".488","13.7","26.8",".258",NA,".493","14.7","72.0",".227",NA,"Pepsi Center","702,555","17,135",2006
"204","16","Milwaukee Bucks*","25.5","40","42","38","44","-1.04","-0.04","-1.07","106.3","107.4","-1.1","91.2",".322",".203",".535",NA,".492","13.8","27.3",".238",NA,".504","13.8","74.6",".262",NA,"Bradley Center","681,337","16,618",2006
"205","17","Orlando Magic","25.5","36","46","38","44","-1.07","-0.18","-1.26","106.3","107.5","-1.2","88.3",".369",".129",".543",NA,".496","14.7","28.5",".270",NA,".490","13.0","72.5",".264",NA,"TD Waterhouse Centre","638,005","15,561",2006
"206","18","Golden State Warriors","25.6","34","48","37","45","-1.35","0.25","-1.11","104.8","106.2","-1.4","93.3",".323",".270",".521",NA,".479","13.0","26.9",".232",NA,".492","14.1","71.6",".243",NA,"Oakland Arena","749,185","18,273",2006
"207","19","Houston Rockets","28.8","34","48","36","46","-1.59","0.28","-1.30","101.6","103.3","-1.7","88.0",".317",".226",".519",NA,".471","14.3","25.5",".240",NA,".472","13.1","74.6",".247",NA,"Toyota Center","636,110","15,515",2006
"208","20","Boston Celtics","25.3","33","49","37","45","-1.54","-0.05","-1.59","105.2","106.9","-1.7","92.2",".349",".204",".551",NA,".504","15.7","25.5",".263",NA,".490","13.8","72.8",".282",NA,"TD Banknorth Garden","692,873","16,899",2006
"209","21","Minnesota Timberwolves","26.7","33","49","35","47","-1.88","0.13","-1.75","102.4","104.5","-2.1","88.8",".299",".149",".524",NA,".480","14.2","25.2",".226",NA,".475","13.4","71.3",".236",NA,"Target Center","662,167","16,150",2006
"210","22","Philadelphia 76ers","26.5","38","44","35","47","-1.95","-0.15","-2.10","106.0","108.1","-2.1","92.7",".356",".158",".538",NA,".487","13.3","25.6",".270",NA,".500","14.3","71.3",".240",NA,"Wachovia Center","677,278","16,519",2006
"211","23","Utah Jazz","25.6","41","41","33","49","-2.63","0.14","-2.49","104.1","107.0","-2.9","87.8",".397",".149",".519",NA,".467","15.0","32.4",".286",NA,".490","14.0","73.2",".303",NA,"Delta Center","751,621","18,332",2006
"212","24","New Orleans/Oklahoma City Hornets","26.3","38","44","33","49","-2.82","0.31","-2.51","103.7","106.8","-3.1","89.0",".339",".138",".515",NA,".464","12.9","26.9",".257",NA,".502","14.3","73.4",".243",NA,"Ford Center","744,920","18,717",2006
"213","25","Toronto Raptors","25.9","27","55","33","49","-2.99","-0.04","-3.03","109.5","112.7","-3.2","91.1",".315",".244",".548",NA,".500","12.4","25.4",".249",NA,".530","13.5","73.3",".263",NA,"Air Canada Centre","699,332","17,057",2006
"214","26","Seattle SuperSonics","25.6","35","47","33","49","-3.02","0.15","-2.88","111.1","114.4","-3.3","91.6",".314",".243",".551",NA,".504","13.7","30.4",".246",NA,".527","13.6","69.0",".260",NA,"KeyArena at Seattle Center","664,157","16,199",2006
"215","27","Charlotte Bobcats","25.2","26","56","30","52","-4.00","0.10","-3.90","102.5","106.7","-4.2","93.4",".319",".184",".509",NA,".464","13.0","27.1",".233",NA,".514","16.5","70.7",".263",NA,"Charlotte Bobcats Arena","671,011","16,366",2006
"216","28","Atlanta Hawks","22.7","26","56","28","54","-4.76","0.07","-4.69","106.4","111.6","-5.2","90.4",".340",".178",".534",NA,".486","14.7","31.4",".255",NA,".513","14.1","69.5",".275",NA,"Philips Arena","617,817","15,069",2006
"217","29","New York Knicks","25.6","23","59","24","58","-6.40","0.11","-6.30","104.0","111.0","-7.0","90.8",".417",".142",".534",NA,".481","16.5","31.2",".303",NA,".511","13.4","72.8",".294",NA,"Madison Square Garden (IV)","776,176","18,931",2006
"218","30","Portland Trail Blazers","24.6","21","61","16","66","-9.45","0.54","-8.91","101.1","111.9","-10.8","87.6",".310",".166",".511",NA,".474","14.5","26.6",".214",NA,".507","12.6","68.2",".231",NA,"Rose Garden Arena","617,019","15,049",2006
"219","","League Average","26.6","","","41","41","0.00","0.00","0.00","106.2","106.2","","90.5",".333",".202",".536",NA,".490","13.7","27.3",".248",NA,".490","13.7","72.7",".248",NA,"","719,853","17,571",2006
"220","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G",2007
"221","1","San Antonio Spurs*","30.4","58","24","64","18","8.43","-0.08","8.35","109.2","99.9","+9.3","89.8",".313",".247",".561",NA,".521","13.6","24.2",".235",NA,".471","14.0","75.7",".201",NA,"AT&T Center","764,823","18,654",2007
"222","2","Dallas Mavericks*","28.1","67","15","61","21","7.22","0.06","7.28","111.3","103.2","+8.1","89.5",".317",".218",".559",NA,".509","13.4","28.7",".256",NA,".477","14.2","75.0",".265",NA,"American Airlines Center","834,411","20,351",2007
"223","3","Phoenix Suns*","27.6","61","21","59","23","7.30","-0.03","7.28","113.9","106.4","+7.5","95.6",".267",".287",".590",NA,".551","13.4","22.7",".215",NA,".492","13.6","71.9",".206",NA,"US Airways Center","755,302","18,422",2007
"224","4","Chicago Bulls*","26.0","49","33","55","27","5.01","-0.49","4.52","104.9","99.6","+5.3","93.6",".313",".186",".534",NA,".493","14.7","28.6",".229",NA,".473","16.2","74.3",".252",NA,"United Center","912,364","22,253",2007
"225","5","Houston Rockets*","28.2","52","30","55","27","4.85","0.19","5.04","106.0","100.7","+5.3","90.7",".292",".290",".540",NA,".499","13.6","25.7",".220",NA,".466","13.6","77.0",".230",NA,"Toyota Center","678,362","16,545",2007
"226","6","Detroit Pistons*","29.0","53","29","53","29","4.16","-0.47","3.69","108.9","104.2","+4.7","87.3",".307",".201",".535",NA,".488","12.0","28.3",".237",NA,".477","14.3","70.9",".234",NA,"The Palace of Auburn Hills","905,116","22,076",2007
"227","7","Cleveland Cavaliers*","26.9","50","32","52","30","3.83","-0.50","3.33","105.5","101.3","+4.2","90.8",".320",".211",".522",NA,".484","13.4","29.7",".223",NA,".480","14.7","75.8",".243",NA,"Quicken Loans Arena","837,883","20,436",2007
"228","8","Utah Jazz*","25.9","51","31","49","33","2.87","0.20","3.06","110.1","107.0","+3.1","91.6",".380",".163",".551",NA,".502","14.5","31.7",".283",NA,".496","14.4","75.1",".314",NA,"EnergySolutions Arena","802,214","19,566",2007
"229","9","Denver Nuggets*","26.5","45","37","45","37","1.62","0.07","1.69","107.6","105.9","+1.7","97.4",".360",".212",".548",NA,".501","14.6","28.9",".268",NA,".499","14.5","71.8",".203",NA,"Pepsi Center","706,437","17,230",2007
"230","10","Toronto Raptors*","26.0","47","35","44","38","0.99","-0.38","0.61","107.0","106.0","+1.0","92.6",".303",".224",".550",NA,".504","13.0","22.2",".239",NA,".503","14.3","74.5",".219",NA,"Air Canada Centre","748,603","18,259",2007
"231","11","Orlando Magic*","25.6","40","42","43","39","0.78","-0.43","0.35","104.9","104.1","+0.8","89.9",".393",".158",".544",NA,".500","16.3","29.3",".276",NA,".480","14.6","73.7",".286",NA,"Amway Arena","700,887","17,095",2007
"232","12","Los Angeles Lakers*","25.3","42","40","41","41","-0.07","0.32","0.24","108.6","108.6","0.0","93.5",".333",".259",".554",NA,".511","14.3","26.1",".249",NA,".500","13.5","72.3",".262",NA,"STAPLES Center","778,415","18,986",2007
"233","13","Golden State Warriors*","24.6","42","40","40","42","-0.34","0.34","0.00","107.0","107.4","-0.4","99.2",".300",".279",".548",NA,".512","14.1","25.6",".215",NA,".506","16.1","69.6",".264",NA,"Oracle Arena","742,267","18,104",2007
"234","14","Washington Wizards*","26.8","41","41","40","42","-0.51","-0.28","-0.80","110.1","110.6","-0.5","94.1",".356",".237",".542",NA,".491","12.6","28.1",".272",NA,".517","14.4","71.0",".249",NA,"Verizon Center","753,283","18,373",2007
"235","15","Los Angeles Clippers","27.5","40","42","40","42","-0.46","0.39","-0.07","105.1","105.6","-0.5","90.8",".355",".143",".537",NA,".481","14.5","27.2",".280",NA,".488","13.3","74.7",".249",NA,"STAPLES Center","755,261","18,421",2007
"236","16","New Jersey Nets*","28.2","41","41","39","43","-0.77","-0.23","-1.00","105.7","106.6","-0.9","91.4",".338",".263",".546",NA,".504","14.2","24.6",".245",NA,".490","13.7","74.4",".266",NA,"Continental Airlines Arena","693,955","16,926",2007
"237","17","Miami Heat*","29.3","44","38","38","44","-0.91","-0.29","-1.21","104.3","105.3","-1.0","89.9",".321",".245",".541",NA,".506","14.3","24.9",".222",NA,".485","13.8","73.3",".232",NA,"AmericanAirlines Arena","808,541","19,721",2007
"238","18","New Orleans/Oklahoma City Hornets","26.4","39","43","36","46","-1.57","0.38","-1.19","104.8","106.5","-1.7","90.2",".291",".188",".520",NA,".479","13.6","29.1",".215",NA,".499","13.2","74.7",".212",NA,"Ford Center","731,165","17,954",2007
"239","19","Sacramento Kings","27.3","33","49","36","46","-1.80","0.46","-1.35","106.2","108.0","-1.8","94.8",".379",".232",".545",NA,".491","13.5","23.1",".289",NA,".513","14.9","72.5",".240",NA,"ARCO Arena (II)","709,997","17,317",2007
"240","20","Indiana Pacers","27.2","35","47","34","48","-2.44","-0.18","-2.62","102.9","105.5","-2.6","92.4",".324",".212",".523",NA,".474","15.1","28.4",".246",NA,".491","14.8","72.7",".271",NA,"Conseco Fieldhouse","629,750","15,360",2007
"241","21","Seattle SuperSonics","25.9","31","51","33","49","-2.89","0.45","-2.45","107.2","110.3","-3.1","91.8",".288",".219",".544",NA,".499","14.5","27.8",".228",NA,".515","14.1","70.9",".243",NA,"KeyArena at Seattle Center","654,163","15,955",2007
"242","22","New York Knicks","25.4","33","49","33","49","-2.85","-0.21","-3.06","105.7","108.8","-3.1","90.8",".377",".216",".539",NA,".494","15.9","31.0",".270",NA,".504","13.0","74.0",".246",NA,"Madison Square Garden (IV)","770,617","18,796",2007
"243","23","Philadelphia 76ers","26.2","35","47","32","50","-3.02","-0.23","-3.26","103.6","106.9","-3.3","90.7",".333",".128",".530",NA,".480","14.6","27.2",".255",NA,".501","14.7","70.8",".221",NA,"Wachovia Center","608,603","14,844",2007
"244","24","Boston Celtics","23.5","24","58","31","51","-3.41","-0.29","-3.70","103.2","106.9","-3.7","92.0",".337",".199",".530",NA,".479","15.4","27.0",".259",NA,".502","14.5","73.8",".280",NA,"TD Banknorth Garden","690,576","16,843",2007
"245","25","Minnesota Timberwolves","27.7","32","50","30","52","-3.67","0.51","-3.16","103.9","107.9","-4.0","91.0",".291",".167",".537",NA,".490","14.8","25.1",".231",NA,".498","13.3","72.1",".226",NA,"Target Center","655,947","15,999",2007
"246","26","Charlotte Bobcats","25.5","33","49","30","52","-3.74","-0.22","-3.97","103.6","107.6","-4.0","92.0",".322",".193",".524",NA,".480","13.9","26.4",".236",NA,".500","14.7","71.6",".279",NA,"Charlotte Bobcats Arena","637,520","15,549",2007
"247","27","Milwaukee Bucks","26.0","28","54","29","53","-4.38","-0.06","-4.43","107.0","111.7","-4.7","92.3",".286",".219",".541",NA,".504","14.1","27.6",".209",NA,".522","14.5","68.1",".234",NA,"Bradley Center","663,629","16,186",2007
"248","28","Portland Trail Blazers","24.4","32","50","29","53","-4.29","0.51","-3.78","105.1","109.9","-4.8","88.3",".314",".193",".530",NA,".483","14.5","28.2",".241",NA,".508","13.5","73.0",".267",NA,"Rose Garden Arena","670,778","16,360",2007
"249","29","Atlanta Hawks","24.1","30","52","27","55","-4.76","-0.10","-4.86","103.0","108.3","-5.3","90.0",".346",".163",".523",NA,".471","15.1","29.2",".263",NA,".503","14.5","70.9",".268",NA,"Philips Arena","639,375","15,595",2007
"250","30","Memphis Grizzlies","26.2","22","60","27","55","-5.15","0.71","-4.44","106.9","112.3","-5.4","93.6",".374",".211",".555",NA,".504","15.2","25.9",".285",NA,".529","14.0","71.1",".237",NA,"FedEx Forum","600,836","14,655",2007
"251","","League Average","26.7","","","41","41","0.00","0.00","0.00","106.5","106.5","","91.9",".327",".213",".541",NA,".496","14.2","27.1",".246",NA,".496","14.2","72.9",".246",NA,"","728,036","17,760",2007
"252","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G",2008
"253","1","Boston Celtics*","27.9","66","16","67","15","10.26","-0.95","9.30","110.2","98.9","+11.3","90.9",".346",".249",".569",NA,".522","14.7","26.6",".267",NA,".457","15.2","74.4",".253",NA,"TD Banknorth Garden","763,584","18,624",2008
"254","2","Detroit Pistons*","28.3","59","23","62","20","7.39","-0.72","6.67","111.4","102.9","+8.5","87.3",".300",".203",".539",NA,".495","11.4","29.4",".230",NA,".470","13.4","73.7",".244",NA,"The Palace of Auburn Hills","905,116","22,076",2008
"255","3","Los Angeles Lakers*","26.7","57","25","59","23","7.26","0.09","7.34","113.0","105.5","+7.5","95.6",".333",".257",".570",NA,".525","12.9","26.3",".256",NA,".485","12.9","73.4",".214",NA,"STAPLES Center","778,877","18,997",2008
"256","4","Utah Jazz*","25.3","54","28","59","23","6.88","-0.01","6.86","113.8","106.5","+7.3","93.2",".349",".166",".573",NA,".528","13.6","29.5",".265",NA,".501","15.0","74.1",".294",NA,"EnergySolutions Arena","816,211","19,908",2008
"257","5","Orlando Magic*","26.7","52","30","56","26","5.46","-0.68","4.79","111.3","105.5","+5.8","93.4",".355",".322",".575",NA,".537","13.6","23.4",".256",NA,".484","12.3","74.8",".217",NA,"Amway Arena","709,346","17,301",2008
"258","6","New Orleans Hornets*","27.1","56","26","56","26","5.28","0.18","5.46","111.5","105.7","+5.8","89.9",".251",".239",".548",NA,".512","11.4","27.0",".193",NA,".501","13.5","75.4",".184",NA,"New Orleans Arena","581,432","14,181",2008
"259","7","San Antonio Spurs*","31.4","56","26","55","27","4.79","0.31","5.10","107.2","101.8","+5.4","88.8",".276",".251",".543",NA,".504","12.6","23.4",".210",NA,".477","12.8","77.1",".201",NA,"AT&T Center","761,149","18,565",2008
"260","8","Houston Rockets*","28.3","55","27","55","27","4.68","0.15","4.83","106.8","101.6","+5.2","90.4",".276",".255",".528",NA,".492","13.0","29.1",".200",NA,".465","12.8","74.8",".214",NA,"Toyota Center","718,524","17,525",2008
"261","9","Phoenix Suns*","29.3","55","27","54","28","5.05","0.09","5.14","113.3","108.1","+5.2","96.7",".292",".260",".590",NA,".551","13.4","22.4",".228",NA,".488","11.8","70.9",".191",NA,"US Airways Center","755,302","18,422",2008
"262","10","Dallas Mavericks*","28.9","51","31","54","28","4.54","0.16","4.70","111.1","106.1","+5.0","90.2",".318",".215",".554",NA,".502","12.3","26.7",".259",NA,".474","11.7","75.0",".252",NA,"American Airlines Center","831,738","20,286",2008
"263","11","Denver Nuggets*","28.5","50","32","51","31","3.71","0.03","3.74","110.0","106.3","+3.7","99.7",".358",".228",".557",NA,".510","12.9","25.5",".269",NA,".499","14.1","72.1",".203",NA,"Pepsi Center","711,962","17,365",2008
"264","12","Toronto Raptors*","26.3","41","41","49","33","2.90","-0.44","2.47","110.2","107.0","+3.2","90.2",".247",".217",".551",NA,".511","11.4","23.4",".200",NA,".505","13.5","75.0",".205",NA,"Air Canada Centre","796,835","19,435",2008
"265","13","Golden State Warriors","25.5","48","34","47","35","2.21","0.17","2.38","111.8","109.5","+2.3","98.8",".276",".295",".548",NA,".511","11.5","27.2",".208",NA,".509","14.7","70.3",".258",NA,"Oracle Arena","804,864","19,631",2008
"266","14","Philadelphia 76ers*","25.3","40","42","42","40","0.41","-0.23","0.19","106.4","106.0","+0.4","90.4",".321",".143",".522",NA,".482","13.4","31.8",".227",NA,".504","15.1","72.0",".205",NA,"Wachovia Center","609,675","14,870",2008
"267","15","Washington Wizards*","27.2","43","39","40","42","-0.33","-0.28","-0.61","109.2","109.6","-0.4","89.5",".297",".241",".535",NA,".489","12.5","28.9",".233",NA,".513","13.5","72.8",".217",NA,"Verizon Center","736,461","17,962",2008
"268","16","Cleveland Cavaliers*","27.1","45","37","40","42","-0.35","-0.17","-0.53","106.0","106.4","-0.4","90.2",".308",".231",".520",NA,".480","13.1","30.4",".221",NA,".494","12.9","75.9",".240",NA,"Quicken Loans Arena","839,074","20,465",2008
"269","17","Portland Trail Blazers","24.1","41","41","38","44","-0.98","0.45","-0.52","107.3","108.4","-1.1","87.9",".281",".218",".532",NA,".489","12.6","26.8",".216",NA,".491","12.1","71.8",".212",NA,"Rose Garden Arena","801,566","19,550",2008
"270","18","Indiana Pacers","26.7","36","46","37","45","-1.40","-0.46","-1.87","106.0","107.5","-1.5","97.7",".292",".289",".540",NA,".498","13.5","24.4",".224",NA,".498","14.1","73.9",".271",NA,"Conseco Fieldhouse","501,092","12,222",2008
"271","19","Atlanta Hawks*","24.2","37","45","36","46","-1.82","-0.41","-2.23","106.9","108.9","-2.0","91.1",".340",".165",".535",NA,".483","14.0","29.7",".263",NA,".501","12.9","71.7",".217",NA,"Philips Arena","667,518","16,281",2008
"272","20","Sacramento Kings","27.3","38","44","35","47","-2.26","0.40","-1.86","107.5","109.9","-2.4","94.7",".346",".208",".556",NA,".503","14.8","25.2",".276",NA,".510","13.9","71.7",".256",NA,"ARCO Arena (II)","580,181","14,151",2008
"273","21","Chicago Bulls","25.7","33","49","32","50","-3.09","-0.11","-3.19","103.9","107.2","-3.3","93.0",".296",".190",".515",NA,".470","13.4","28.9",".223",NA,".496","14.2","73.1",".258",NA,"United Center","901,502","21,988",2008
"274","22","Charlotte Bobcats","26.3","32","50","29","53","-4.38","-0.11","-4.49","104.6","109.4","-4.8","91.8",".323",".220",".532",NA,".492","13.9","25.6",".230",NA,".505","13.4","71.0",".235",NA,"Charlotte Bobcats Arena","603,403","14,717",2008
"275","23","New Jersey Nets","27.4","34","48","27","55","-5.06","-0.09","-5.15","104.0","109.4","-5.4","91.5",".347",".222",".528",NA,".481","14.2","26.6",".255",NA,".497","12.7","73.8",".271",NA,"Izod Center","641,921","15,657",2008
"276","24","Memphis Grizzlies","24.5","22","60","25","57","-6.21","0.45","-5.76","105.0","111.4","-6.4","95.3",".311",".264",".539",NA,".500","14.0","23.8",".225",NA,".521","12.2","73.4",".196",NA,"FedEx Forum","523,578","12,770",2008
"277","25","New York Knicks","25.7","23","59","23","59","-6.61","0.06","-6.55","104.7","111.9","-7.2","91.6",".310",".215",".518",NA,".475","13.4","28.6",".226",NA,".518","12.1","72.7",".229",NA,"Madison Square Garden (IV)","783,739","19,116",2008
"278","26","Minnesota Timberwolves","24.6","22","60","23","59","-6.78","0.52","-6.26","103.8","111.2","-7.4","91.9",".248",".185",".518",NA,".484","13.6","27.5",".183",NA,".513","12.9","73.6",".269",NA,"Target Center","593,537","14,477",2008
"279","27","Milwaukee Bucks","25.8","26","56","23","59","-6.89","-0.03","-6.92","105.3","112.8","-7.5","91.3",".294",".195",".522",NA,".482","13.7","30.0",".215",NA,".524","13.0","73.0",".250",NA,"Bradley Center","639,421","15,596",2008
"280","28","Los Angeles Clippers","28.5","23","59","21","61","-7.27","0.71","-6.56","101.2","109.1","-7.9","92.1",".338",".167",".519",NA,".465","13.7","23.1",".264",NA,".503","12.8","73.1",".236",NA,"STAPLES Center","692,408","16,888",2008
"281","29","Seattle SuperSonics","25.4","20","62","19","63","-8.76","0.72","-8.04","100.5","109.5","-9.0","96.3",".265",".134",".509",NA,".467","14.3","26.8",".204",NA,".503","11.9","73.7",".215",NA,"KeyArena at Seattle Center","547,556","13,355",2008
"282","30","Miami Heat","27.4","15","67","18","64","-8.65","0.11","-8.53","100.5","110.0","-9.5","90.2",".300",".217",".522",NA,".482","14.4","22.1",".218",NA,".510","13.6","71.9",".245",NA,"AmericanAirlines Arena","798,004","19,464",2008
"283","","League Average","27.0","","","41","41","0.00","0.00","0.00","107.5","107.5","","92.4",".306",".222",".540",NA,".497","13.2","26.7",".231",NA,".497","13.2","73.3",".231",NA,"","713,186","17,395",2008
"284","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G",2009
"285","1","Cleveland Cavaliers*","26.6","66","16","65","17","8.93","-0.25","8.68","112.4","102.4","+10.0","88.7",".312",".259",".560",NA,".519","12.5","27.7",".236",NA,".468","13.5","74.6",".226",NA,"Quicken Loans Arena","841,000","20,512",2009
"286","2","Boston Celtics*","27.8","62","20","61","21","7.51","-0.07","7.44","110.5","102.3","+8.2","90.4",".328",".214",".571",NA,".528","15.0","27.9",".251",NA,".470","14.0","75.6",".253",NA,"TD Banknorth Garden","763,584","18,624",2009
"287","3","Los Angeles Lakers*","27.4","65","17","61","21","7.66","-0.55","7.11","112.8","104.7","+8.1","94.3",".299",".217",".555",NA,".513","12.3","29.4",".230",NA,".490","14.2","73.0",".213",NA,"STAPLES Center","778,877","18,997",2009
"288","4","Orlando Magic*","27.3","59","23","59","23","6.70","-0.21","6.48","109.2","101.9","+7.3","92.3",".351",".335",".559",NA,".520","13.4","24.0",".251",NA,".465","12.3","75.9",".209",NA,"Amway Arena","698,768","17,043",2009
"289","5","Portland Trail Blazers*","24.0","54","28","56","26","5.34","-0.35","5.00","113.9","107.8","+6.1","86.6",".306",".239",".553",NA,".511","12.5","32.6",".234",NA,".499","13.2","75.0",".227",NA,"Rose Garden Arena","841,499","20,524",2009
"290","6","Houston Rockets*","27.9","53","29","53","29","4.00","-0.27","3.73","108.4","104.0","+4.4","90.2",".292",".254",".548",NA,".501","13.6","26.4",".235",NA,".479","11.9","75.3",".192",NA,"Toyota Center","717,669","17,504",2009
"291","7","San Antonio Spurs*","30.4","54","28","52","30","3.76","-0.40","3.36","108.5","104.3","+4.2","88.4",".251",".248",".548",NA,".513","11.7","22.1",".191",NA,".487","11.7","78.0",".191",NA,"AT&T Center","749,048","18,269",2009
"292","8","Denver Nuggets*","27.7","54","28","50","32","3.41","-0.29","3.13","110.4","106.8","+3.6","94.3",".382",".227",".563",NA,".512","14.2","27.5",".290",NA,".485","14.1","71.7",".259",NA,"Pepsi Center","706,165","17,224",2009
"293","9","Utah Jazz*","25.5","48","34","48","34","2.65","-0.34","2.31","110.1","107.3","+2.8","93.1",".355",".169",".554",NA,".504","13.6","28.2",".274",NA,".505","15.0","72.7",".262",NA,"EnergySolutions Arena","816,042","19,903",2009
"294","10","Dallas Mavericks*","29.0","50","32","47","35","1.98","-0.30","1.68","110.5","108.4","+2.1","91.5",".274",".241",".550",NA,".504","12.1","26.6",".224",NA,".493","12.3","74.6",".225",NA,"American Airlines Center","821,723","20,042",2009
"295","11","Phoenix Suns","29.5","46","36","46","36","1.93","-0.31","1.62","113.6","111.6","+2.0","96.0",".336",".216",".584",NA,".545","14.4","27.7",".250",NA,".511","12.8","71.7",".233",NA,"US Airways Center","755,302","18,422",2009
"296","12","Atlanta Hawks*","25.8","47","35","46","36","1.57","0.13","1.70","109.3","107.6","+1.7","89.6",".323",".253",".546",NA,".504","12.5","26.0",".238",NA,".494","13.2","71.6",".210",NA,"Philips Arena","686,688","16,748",2009
"297","13","New Orleans Hornets*","28.2","49","33","46","36","1.55","-0.14","1.41","108.7","107.0","+1.7","87.8",".288",".240",".548",NA,".501","12.5","24.6",".232",NA,".496","13.2","74.9",".230",NA,"New Orleans Arena","695,727","16,969",2009
"298","14","Miami Heat*","25.6","43","39","42","40","0.26","0.23","0.49","107.8","107.6","+0.2","89.9",".282",".245",".540",NA,".500","12.1","24.6",".212",NA,".501","14.5","72.9",".251",NA,"AmericanAirlines Arena","748,778","18,263",2009
"299","15","Philadelphia 76ers*","26.1","41","41","41","41","0.07","0.09","0.16","107.9","107.8","+0.1","90.0",".339",".164",".532",NA,".485","13.4","31.3",".253",NA,".507","14.9","71.4",".216",NA,"Wachovia Center","647,898","15,802",2009
"300","16","Chicago Bulls*","24.9","41","41","40","42","-0.28","0.12","-0.16","108.4","108.7","-0.3","93.1",".300",".189",".541",NA,".493","13.3","28.0",".239",NA,".493","13.1","70.9",".238",NA,"United Center","868,667","21,187",2009
"301","17","Detroit Pistons*","28.2","39","43","40","42","-0.49","0.13","-0.36","107.4","108.0","-0.6","86.7",".282",".165",".524",NA,".483","11.7","27.9",".212",NA,".485","11.7","74.0",".248",NA,"The Palace of Auburn Hills","896,971","21,877",2009
"302","18","Indiana Pacers","26.5","36","46","38","44","-1.11","0.35","-0.76","108.1","109.2","-1.1","96.5",".267",".244",".545",NA,".501","13.1","25.4",".215",NA,".499","12.7","74.5",".271",NA,"Conseco Fieldhouse","581,472","14,182",2009
"303","19","Milwaukee Bucks","26.3","34","48","38","44","-1.09","0.21","-0.88","106.7","107.9","-1.2","92.6",".306",".208",".531",NA,".483","13.1","27.8",".239",NA,".503","15.6","74.0",".315",NA,"Bradley Center","630,976","15,390",2009
